Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"06037216900","14000US06037216900","Census Tract 2169","Census Tract 2169, Los Angeles County, California","ca","140","00","ACSSF","0004513",,,,,"06","037",,,,"216900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4886,2430,1409,8,332,0,511,196
"06037217001","14000US06037217001","Census Tract 2170.01","Census Tract 2170.01, Los Angeles County, California","ca","140","00","ACSSF","0004514",,,,,"06","037",,,,"217001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724,2394,67,0,89,0,6,168
"06037217002","14000US06037217002","Census Tract 2170.02","Census Tract 2170.02, Los Angeles County, California","ca","140","00","ACSSF","0004515",,,,,"06","037",,,,"217002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4639,3824,139,0,341,0,196,139
"06037217100","14000US06037217100","Census Tract 2171","Census Tract 2171, Los Angeles County, California","ca","140","00","ACSSF","0004516",,,,,"06","037",,,,"217100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6219,3160,1317,0,253,0,1164,325
"06037217200","14000US06037217200","Census Tract 2172","Census Tract 2172, Los Angeles County, California","ca","140","00","ACSSF","0004517",,,,,"06","037",,,,"217200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,1554,1145,36,223,0,1043,155
"06037218110","14000US06037218110","Census Tract 2181.10","Census Tract 2181.10, Los Angeles County, California","ca","140","00","ACSSF","0004518",,,,,"06","037",,,,"218110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,1028,605,31,484,0,977,70
"06037218120","14000US06037218120","Census Tract 2181.20","Census Tract 2181.20, Los Angeles County, California","ca","140","00","ACSSF","0004519",,,,,"06","037",,,,"218120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4638,1489,514,35,587,41,1795,177
"06037218210","14000US06037218210","Census Tract 2182.10","Census Tract 2182.10, Los Angeles County, California","ca","140","00","ACSSF","0004520",,,,,"06","037",,,,"218210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3721,1587,535,72,192,5,1330,0
"06037218220","14000US06037218220","Census Tract 2182.20","Census Tract 2182.20, Los Angeles County, California","ca","140","00","ACSSF","0004521",,,,,"06","037",,,,"218220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3859,1967,901,0,258,30,613,90
"06037218300","14000US06037218300","Census Tract 2183","Census Tract 2183, Los Angeles County, California","ca","140","00","ACSSF","0004522",,,,,"06","037",,,,"218300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5290,1938,1583,19,271,0,1370,109
